HIP_ID,RAdeg,DEdeg,Vmag
39429,120.8961256,-40.00318846,2.21
45556,139.2726183,-59.27526115,2.21
76267,233.6716229,+26.71491041,2.22
44816,136.9990713,-43.43262406,2.23
65378,200.980916,+54.92541525,2.23
100453,305.5570835,+40.25668150,2.23
3179,10.12661349,+56.53740928,2.24
87833,269.1515744,+51.48895101,2.24
25930,83.00166562,-0.2990934,2.25
746,2.29204036,+59.15021814,2.28
66657,204.9719696,-53.46636269,2.29
78401,240.0833823,-22.62162024,2.29
82396,252.5426874,-34.29260982,2.29
71860,220.482391,-47.38814127,2.3
71352,218.8768816,-42.15774562,2.33
53910,165.4599615,+56.38234478,2.34
72105,221.2468787,+27.07417383,2.35
107315,326.0464181,+09.87500791,2.38
86670,265.6219991,-39.02992092,2.39
2081,6.57028075,-42.30512197,2.4
58001,178.4572554,+53.69473296,2.41
84012,257.5944266,-15.72514757,2.43
113881,345.9430558,+28.08245462,2.44
35904,111.023771,-29.30311979,2.45
105199,319.6440898,+62.58545529,2.45
45941,140.5284551,-55.01069531,2.47
102488,311.5518009,+33.96945334,2.48
113963,346.1900702,+15.20536786,2.49
14135,45.56991279,+04.08992539,2.54
81377,249.2897085,-10.5671518,2.54
68002,208.8851454,-47.28826634,2.55
54872,168.5267171,+20.52403384,2.56
78820,241.3593121,-19.80539286,2.56
25985,83.18255798,-17.82229227,2.58
59196,182.0897651,-50.72240999,2.58
59803,183.9519494,-17.5419837,2.58
93506,285.6530143,-29.88011429,2.6
74785,229.2519659,-9.38286694,2.61
77070,236.0666491,+06.42551971,2.63
8903,28.65978771,+20.80829949,2.64
26634,84.91224975,-34.07404941,2.65
28380,89.93015897,+37.21276409,2.65
61359,188.5968086,-23.39662306,2.65
6686,21.45251267,+60.23540347,2.66
67927,208.6713175,+18.39858742,2.68
73273,224.6331419,-43.13386699,2.68
23015,74.24840098,+33.16613537,2.69
52727,161.6921754,-49.42012517,2.69
61585,189.2961821,-69.13553358,2.69
85696,262.690995,-37.29574016,2.7
35264,109.285684,-37.09748689,2.71
89931,275.2484234,-29.82803914,2.72
97278,296.5648757,+10.61326869,2.72
79593,243.586526,-3.69397562,2.73
80331,245.9979452,+61.51407536,2.73
52419,160.739278,-64.39447937,2.74
61941,190.4166756,-1.44952231,2.74
26241,83.85825475,-5.90989984,2.75
65109,200.1502732,-36.71208109,2.75
72622,222.7199054,-16.04161047,2.75
86742,265.8682371,+04.56691684,2.76
23875,76.96264146,-5.08626282,2.78
80816,247.555257,+21.48964850,2.78
84345,258.6619269,+14.39025314,2.78
59747,183.7864873,-58.74890179,2.79
85670,262.6082371,+52.30135901,2.79
76297,233.7852516,-41.16669497,2.8
25606,82.06135971,-20.75923214,2.81
81693,250.3228213,+31.60188695,2.81
2021,6.41334183,-77.25503511,2.82
81266,248.9706642,-28.21596156,2.82
90496,276.9927896,-25.42124732,2.82
1067,3.30895828,+15.18361593,2.83
39757,121.886259,-24.30443677,2.83
77952,238.7867001,-63.42974973,2.83
18246,58.53299363,+31.88365776,2.84
85258,261.3249883,-55.52982397,2.84
85792,262.9605066,-49.87598159,2.84
17702,56.87110065,+24.10524193,2.85
63608,195.5448356,+10.95910186,2.85
107556,326.759522,-16.12656595,2.85
9236,29.69113269,-61.56992444,2.86
97165,296.2435088,+45.13069195,2.86
30343,95.73996302,+22.51385027,2.87
74946,229.7278701,-68.67946723,2.87
110130,334.6257426,-60.25949486,2.87
13847,44.5654818,-40.30473491,2.88
94141,287.440974,-21.02352534,2.88
36188,111.7878012,+08.28940893,2.89
63125,194.0076705,+38.31824617,2.89
78265,239.7130028,-26.1140428,2.89
18532,59.46342138,+40.01027315,2.9
80112,245.2971772,-25.59275259,2.9
106278,322.8896695,-5.57115593,2.9
14328,46.19912598,+53.50645031,2.91
48002,146.7755734,-65.07201888,2.92
112158,340.7505357,+30.22130866,2.93
32768,102.4839035,-50.61439973,2.94
60965,187.4665965,-16.51509397,2.94
109074,331.4459387,-0.31982656,2.95
18543,59.50720862,-13.50824471,2.97
26451,84.41118447,+21.14259299,2.97
47908,146.4629267,+23.77427792,2.97
88635,271.4521859,-30.42365007,2.98
64962,199.7302224,-23.17141246,2.99
87073,266.8961714,-40.12698197,2.99
93747,286.3525518,+13.86370983,2.99
10064,32.38550383,+34.98739204,3
54539,167.4160809,+44.49855337,3
75097,230.1822884,+71.83397308,3
82514,252.967662,-38.04732717,3
108085,328.481892,-37.3648229,3
17358,55.7311754,+47.78765330,3.01
30122,95.07827982,-30.06337656,3.02
33977,105.7561399,-23.83330131,3.02
59316,182.5313577,-22.61979211,3.02
23416,75.49222507,+43.82331397,3.03
62322,191.5702901,-68.10809405,3.04
71075,218.0198242,+38.30788348,3.04
95947,292.6803553,+27.95969480,3.05
100345,305.2526935,-14.78140119,3.05
32246,100.9830409,+25.13115531,3.06
50801,155.5825136,+41.49943350,3.06
94376,288.1381458,+67.66131695,3.07
89642,274.4072049,-36.76128103,3.1
43813,133.8486869,+05.94552770,3.11
52943,162.405967,-16.19413208,3.11
56561,173.9455345,-63.01982488,3.11
101772,309.3916237,-47.29166239,3.11
27628,87.7398034,-35.76929225,3.12
44127,134.8034948,+48.04234956,3.12
83081,254.6551282,-55.99005508,3.12
84379,258.7580174,+24.83958739,3.12
73334,224.7904125,-42.10414199,3.13
45860,140.2644117,+34.39252592,3.14
46701,142.8056407,-57.0343916,3.16
84380,258.7618928,+36.80915527,3.16
31685,99.44029869,-43.19592394,3.17
46853,143.2180219,+51.67860208,3.17
83895,257.1967711,+65.71463676,3.17
92041,281.4139708,-26.9907794,3.17
23767,76.62862102,+41.23464074,3.18
71908,220.6278543,-64.97456957,3.18
22449,72.45890935,+06.96124744,3.19
23685,76.36521705,-22.37085673,3.19
83000,254.4177942,+09.37505626,3.19
87261,267.4643802,-37.04337105,3.19
104732,318.2340898,+30.22708128,3.21
116727,354.8374252,+77.63196681,3.21
75141,230.3430683,-40.64745946,3.22
79882,244.5801699,-4.69260809,3.23
89962,275.3288358,-2.897122,3.23
106032,322.164896,+70.56069481,3.23
32607,102.0480713,-61.94197988,3.24
99473,302.8261033,-0.82147569,3.24
36377,112.3078263,-43.30189129,3.25
68895,211.5927873,-26.68201883,3.25
73714,226.0177579,-25.28185602,3.25
93194,284.7359357,+32.68955312,3.25
17678,56.80929799,-74.23924251,3.26
3092,9.83165567,+30.86122579,3.27
84970,260.5024337,-24.99948797,3.27
113136,343.6626635,-15.82075994,3.27
24305,78.2328046,-16.20542901,3.29
50099,153.4344955,-70.03792169,3.29
75458,231.2324337,+58.96602354,3.29
21281,68.49882684,-55.04500559,3.3
51576,158.0061825,-61.68536031,3.3
29655,93.71956952,+22.50682376,3.31
85267,261.3485827,-56.37768824,3.31
5165,16.52127713,-46.71849042,3.32
14354,46.29373754,+38.84053298,3.32
59774,183.856038,+57.03259792,3.32
84143,258.038233,-43.23849039,3.32
88048,269.7566566,-9.77334973,3.32
93864,286.7351763,-27.66981416,3.32
19780,63.60596306,-62.47397888,3.33
54879,168.5601704,+15.42976310,3.33
38170,117.3235781,-24.85978401,3.34
8886,28.59868107,+63.67014686,3.35
25281,81.11923774,-2.39713844,3.35
32362,101.3226398,+12.89605513,3.35
41704,127.5667923,+60.71843110,3.35
95501,291.3739694,+03.11457923,3.36
75264,230.6703647,-44.68957314,3.37
43109,131.6943593,+06.41890691,3.38
66249,203.673978,-0.59593821,3.38
26207,83.78449043,+09.93416294,3.39
50371,154.2708554,-61.33231977,3.39
63090,193.9020137,+03.39759862,3.39
109492,332.7135913,+58.20124992,3.39
